duplicate_group,canonical_row_id,duplicate_row_ids,duplicate_count,review_type,proposed_stable_catalogue_id,recommended_action,price_unit_conflict,units,prices,notes
estimating:flooring-tiling:300-ub-bearer:300-ub-bearer,quote-442,quote-443|quote-444|quote-605|quote-606|quote-607,6,true duplicate candidate,estimating:flooring-tiling:300-ub-bearer:300-ub-bearer,review for later merge after price/unit validation,no,LM,,Repeated description appears to share one catalogue identity.
product:flooring-tiling:floor-tiles:floor-tiles,quote-1601,quote-1614|quote-1625|quote-1635|quote-1641,5,true duplicate candidate,product:flooring-tiling:floor-tiles:floor-tiles,review for later merge after price/unit validation,no,M2,,Repeated description appears to share one catalogue identity.
product:flooring-tiling:wall-tiles:wall-tiles,quote-1598,quote-1611|quote-1624|quote-1634|quote-1640,5,true duplicate candidate,product:flooring-tiling:wall-tiles:wall-tiles,review for later merge after price/unit validation,no,M2,,Repeated description appears to share one catalogue identity.
assembly:flooring-tiling:framed-vinyl-sliding-robe-doors:framed-vinyl-sliding-robe-doors,quote-1389,quote-1398|quote-1407|quote-1416,4,true duplicate candidate,assembly:flooring-tiling:framed-vinyl-sliding-robe-doors:framed-vinyl-sliding-robe-doors,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:flooring-tiling:framed-vinyl-specialty-colours:framed-vinyl-specialty-colours,quote-1390,quote-1399|quote-1408|quote-1417,4,true duplicate candidate,assembly:flooring-tiling:framed-vinyl-specialty-colours:framed-vinyl-specialty-colours,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:windows-doors:frameless-mirror:frameless-mirror,quote-1392,quote-1401|quote-1410|quote-1419,4,true duplicate candidate,assembly:windows-doors:frameless-mirror:frameless-mirror,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:windows-doors:frameless-superwhite-glass:frameless-superwhite-glass,quote-1394,quote-1403|quote-1412|quote-1421,4,true duplicate candidate,assembly:windows-doors:frameless-superwhite-glass:frameless-superwhite-glass,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:windows-doors:gyprock-doors:gyprock-doors,quote-1388,quote-1397|quote-1406|quote-1415,4,true duplicate candidate,assembly:windows-doors:gyprock-doors:gyprock-doors,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:flooring-tiling:skirting-tiles:skirting-tiles,quote-1600,quote-1613|quote-1626|quote-1636,4,true duplicate candidate,product:flooring-tiling:skirting-tiles:skirting-tiles,review for later merge after price/unit validation,no,M2,,Repeated description appears to share one catalogue identity.
product:windows-doors:mirror-doors:mirror-doors,quote-1391,quote-1400|quote-1409|quote-1418,4,true duplicate candidate,product:windows-doors:mirror-doors:mirror-doors,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:windows-doors:superwhite-glass:superwhite-glass,quote-1393,quote-1402|quote-1411|quote-1420,4,true duplicate candidate,product:windows-doors:superwhite-glass:superwhite-glass,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:slab:concrete-pump-rate:concrete-pump-rate,quote-411,quote-416|quote-421,3,true duplicate candidate,estimating:slab:concrete-pump-rate:concrete-pump-rate,review for later merge after price/unit validation,no,M3,,Repeated description appears to share one catalogue identity.
estimating:slab:travel-cost:travel-cost,quote-412,quote-417|quote-422,3,true duplicate candidate,estimating:slab:travel-cost:travel-cost,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
product:cabinetry:cabinet-units-components:upgrade-to-2-pac-doors,quote-1431,quote-1435|quote-1439,3,true duplicate candidate,product:cabinetry:cabinet-units-components:upgrade-to-2-pac-doors,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
product:cabinetry:cabinet-units-components:upgrade-to-stone-tops,quote-1430,quote-1434|quote-1438,3,true duplicate candidate,product:cabinetry:cabinet-units-components:upgrade-to-stone-tops,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
product:plumbing-fixtures:tapware:kohler-viteo-pin,quote-1683,quote-1720|quote-1811,3,room/context variant,product:plumbing-fixtures:tapware:kohler-viteo-pin,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:raymor-academy-pillar,quote-1677,quote-1718|quote-1805,3,room/context variant,product:plumbing-fixtures:tapware:raymor-academy-pillar,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:plumbing-fixtures:tapware:raymor-clermont,quote-1675,quote-1717|quote-1803,3,room/context variant,product:plumbing-fixtures:tapware:raymor-clermont,keep separate rows; map to one catalogue item with row context/snapshot,no,EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
product:windows-doors:robe-hook:robe-hook,quote-1822,quote-1835|quote-1844,3,true duplicate candidate,product:windows-doors:robe-hook:robe-hook,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:external-cladding:labour:concrete-pump,quote-310,quote-1115,2,true duplicate candidate,assembly:external-cladding:labour:concrete-pump,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
assembly:external-cladding:labour:core-filling-blockwork,quote-311,quote-1116,2,true duplicate candidate,assembly:external-cladding:labour:core-filling-blockwork,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
assembly:external-cladding:labour:piers,quote-309,quote-1114,2,true duplicate candidate,assembly:external-cladding:labour:piers,review for later merge after price/unit validation,yes,COURSE|LM,,Repeated description appears to share one catalogue identity.
assembly:plumbing-fixtures:baths:bath,quote-1186,quote-1575,2,room/context variant,assembly:plumbing-fixtures:baths:bath,keep separate rows; map to one catalogue item with row context/snapshot,yes,ITEM|EACH,,"Repeated description appears in multiple sections, levels, rooms, or contexts."
estimating:ceiling-battens:50-x-38-g-o-s-pine:50-x-38-g-o-s-pine,quote-589,quote-720,2,true duplicate candidate,estimating:ceiling-battens:50-x-38-g-o-s-pine:50-x-38-g-o-s-pine,review for later merge after price/unit validation,no,LM,,Repeated description appears to share one catalogue identity.
estimating:ceiling-battens:metal-6m:metal-6m,quote-588,quote-719,2,true duplicate candidate,estimating:ceiling-battens:metal-6m:metal-6m,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:external-cladding:labour:blocklayer-labour,quote-308,quote-1113,2,true duplicate candidate,estimating:external-cladding:labour:blocklayer-labour,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:flooring-tiling:ant-caps:ant-caps,quote-436,quote-598,2,true duplicate candidate,estimating:flooring-tiling:ant-caps:ant-caps,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:flooring-tiling:bearer-tie-down-bolts:bearer-tie-down-bolts,quote-437,quote-599,2,true duplicate candidate,estimating:flooring-tiling:bearer-tie-down-bolts:bearer-tie-down-bolts,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:frame:extra-height-over-1870-per-100mm:extra-height-over-1870-per-100mm,quote-1945,quote-1956,2,true duplicate candidate,estimating:frame:extra-height-over-1870-per-100mm:extra-height-over-1870-per-100mm,review for later merge after price/unit validation,no,100mm,,Repeated description appears to share one catalogue identity.
estimating:frame:extra-width-over-1000-per-100mm:extra-width-over-1000-per-100mm,quote-1944,quote-1955,2,true duplicate candidate,estimating:frame:extra-width-over-1000-per-100mm:extra-width-over-1000-per-100mm,review for later merge after price/unit validation,no,100mm,,Repeated description appears to share one catalogue identity.
estimating:frame:labour:extra-cost-for-3-0m-walls,quote-69,quote-95,2,true duplicate candidate,estimating:frame:labour:extra-cost-for-3-0m-walls,review for later merge after price/unit validation,yes,M2|LM,,Repeated description appears to share one catalogue identity.
estimating:lock-up-stage-labour:labour:labour-for-fa-ade-detail,quote-144,quote-145,2,true duplicate candidate,estimating:lock-up-stage-labour:labour:labour-for-fa-ade-detail,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
estimating:roofing:roof-trusses:roof-trusses,quote-726,quote-727,2,true duplicate candidate,estimating:roofing:roof-trusses:roof-trusses,review for later merge after price/unit validation,yes,QUOTE|M2,,Repeated description appears to share one catalogue identity.
estimating:tie-down:12mm-cyclone-starter-bolts:12mm-cyclone-starter-bolts,quote-581,quote-706,2,true duplicate candidate,estimating:tie-down:12mm-cyclone-starter-bolts:12mm-cyclone-starter-bolts,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
estimating:windows-doors:garage-web-truss-4-8m-span:garage-web-truss-4-8m-span,quote-550,quote-692,2,true duplicate candidate,estimating:windows-doors:garage-web-truss-4-8m-span:garage-web-truss-4-8m-span,review for later merge after price/unit validation,no,ITEM,,Repeated description appears to share one catalogue identity.
product:external-cladding:200-series-blocks-3-4-blocks:200-series-blocks-3-4-blocks,quote-298,quote-1101,2,true duplicate candidate,product:external-cladding:200-series-blocks-3-4-blocks:200-series-blocks-3-4-blocks,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:external-cladding:200-series-blocks-halve-blocks:200-series-blocks-halve-blocks,quote-299,quote-1102,2,true duplicate candidate,product:external-cladding:200-series-blocks-halve-blocks:200-series-blocks-halve-blocks,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:external-cladding:200-series-blocks:200-series-blocks,quote-297,quote-1100,2,true duplicate candidate,product:external-cladding:200-series-blocks:200-series-blocks,review for later merge after price/unit validation,no,EACH,,Repeated description appears to share one catalogue identity.
product:external-cladding:face-bricks-base-range:face-bricks-base-range,quote-294,quote-1093,2,true duplicate candidate,product:external-cladding:face-bricks-base-range:face-bricks-base-range,review for later merge after price/unit validation,no,1000,,Repeated description appears to share one catalogue identity.
product:external-cladding:face-bricks-mid-range:face-bricks-mid-range,quote-295,quote-1094,2,true duplicate candidate,product:external-cladding:face-bricks-mid-range:face-bricks-mid-range,review for later merge after price/unit validation,no,1000,,Repeated description appears to share one catalogue identity.
