quotation_row_id,quotation_code,stage_id,category_id,subcategory_id,current_description,unit,quantity,section,proposed_source_type,proposed_source_id,client_selectable,existing_product_library_match,existing_estimating_catalogue_match,explicit_estimating_master_match,match_confidence,duplicate_group,unresolved_reason,migration_status,notes
quote-4,4,stage:preliminaries,category:plumbing-fixtures,subcategory:isolate-electrial-and-plumbing,ISOLATE ELECTRIAL & PLUMBING,ITEM,-,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-5,5,stage:preliminaries,category:electrical,subcategory:labour,INSTALL BUILDERS POWER POLE,ITEM,-,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-6,6,stage:preliminaries,category:preliminaries,subcategory:documentation,DOCUMENTATION,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-7,7,stage:preliminaries,category:preliminaries,subcategory:titles-searchs-etc,TITLES SEARCHS ETC,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-8,8,stage:preliminaries,category:preliminaries,subcategory:site-survey,SITE SURVEY,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-9,9,stage:preliminaries,category:preliminaries,subcategory:soil-tests,SOIL TESTS,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-10,10,stage:preliminaries,category:preliminaries,subcategory:footing-design,FOOTING DESIGN,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-11,11,stage:preliminaries,category:preliminaries,subcategory:wind-classification,WIND CLASSIFICATION,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-12,12,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,ENGINEERING,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-13,13,stage:preliminaries,category:preliminaries,subcategory:set-out,SET OUT,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-14,14,stage:preliminaries,category:preliminaries,subcategory:qbsa-registration,QBSA REGISTRATION,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-15,15,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,Q LEAVE FEES,ITEM,-,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-16,16,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,DRAFTING FEES,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-17,17,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,DRAFTING FEES,M2,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-18,18,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,BUILDING DESIGN FEE,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-19,19,stage:preliminaries,category:preliminaries,subcategory:site-signage,SITE SIGNAGE,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-20,20,stage:preliminaries,category:preliminaries,subcategory:silt-fence,SILT FENCE,LM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-21,21,stage:preliminaries,category:preliminaries,subcategory:rumble-pad,RUMBLE PAD,M2,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-22,22,stage:preliminaries,category:preliminaries,subcategory:all-risk-and-p-l-insurance,ALL RISK AND P/L INSURANCE,ITEM,,PRELIMINARIES,informational,,false,,,,rule,,,not-a-catalogue-record,Informational or confirmation-only row.
quote-25,25,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,QUOTED AMOUNT,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:quoted-amount,false,,quote-25,,derived-runtime,estimating:preliminaries:statutory-fees:quoted-amount,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-26,26,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,CERTIFIERS FEES (# INSPECTIONS),ITEM,,CERTIFIERS COSTS,formula,,false,,,,rule,,,not-a-catalogue-record,Formula-driven row; keep out of master catalogues.
quote-27,27,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,BUILDING LODGEMENT FEE,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:building-lodgement-fee,false,,quote-27,,derived-runtime,estimating:preliminaries:statutory-fees:building-lodgement-fee,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-28,28,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,SEWERAGE PLANS,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:sewerage-plans,false,,quote-28,,derived-runtime,estimating:preliminaries:statutory-fees:sewerage-plans,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-29,29,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,FLOOD LEVEL DESIGN,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:flood-level-design,false,,quote-29,,derived-runtime,estimating:preliminaries:statutory-fees:flood-level-design,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-30,30,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,TITLE SEARCH,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:title-search,false,,quote-30,,derived-runtime,estimating:preliminaries:statutory-fees:title-search,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-31,31,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,BOUNDARY RELAXATION,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:boundary-relaxation,false,,quote-31,,derived-runtime,estimating:preliminaries:statutory-fees:boundary-relaxation,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-32,32,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,CLIMATE DESIGN,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:climate-design,false,,quote-32,,derived-runtime,estimating:preliminaries:statutory-fees:climate-design,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
quote-33,33,stage:preliminaries,category:preliminaries,subcategory:statutory-fees,SPECIAL PLANNING,ITEM,,CERTIFIERS COSTS,estimating-item,estimating:preliminaries:statutory-fees:special-planning,false,,quote-33,,derived-runtime,estimating:preliminaries:statutory-fees:special-planning,,existing-derived-estimating-row,"Labour, plant, service, fee, or construction resource candidate."
