product_id,brand,supplier,category_id,family_id,family,model_number,product_name,description,unit,price,selectable,active,source_row_ids,duplicate_source_row_count,image_reference
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,Ariston,category:appliances,family:cooktops,cooktops,NIO 844 DO B AUS,ARISTON 90CM INDUCTION COOKTOP NIO 844 DO B AUS,APPLIANCES | - ARISTON 90CM INDUCTION COOKTOP NIO 844 DO B AUS | EACH | 1399 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,1399,true,true,1291,0,
product:appliances:cooktops:ariston:pc640ntx,Ariston,Ariston,category:appliances,family:cooktops,cooktops,PC640NTX,ARISTON 60CM GAS COOKTOP PC640NTX,APPLIANCES | - ARISTON 60CM GAS COOKTOP PC640NTX | EACH | 699 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,699,true,true,1284,0,
product:appliances:cooktops:ariston:pf604ix,Ariston,Ariston,category:appliances,family:cooktops,cooktops,PF604IX,ARISTON 60CM ELECTRIC COOKTOP PF604IX,APPLIANCES | - ARISTON 60CM ELECTRIC COOKTOP PF604IX | EACH | 699 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,699,true,true,1276,0,
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,Ariston,category:appliances,family:cooktops,cooktops,PKQ 755 D GH AUS,ARISTON 90CM GAS COOKTOP PKQ 755 D GH AUS,APPLIANCES | - ARISTON 90CM GAS COOKTOP PKQ 755 D GH AUS | EACH | 999 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,999,true,true,1280,0,
product:appliances:cooktops:blanco:bcc604t,Blanco,Blanco,category:appliances,family:cooktops,cooktops,BCC604T,BLANCO 60CM CERAMIC COOKTOP BCC604T,APPLIANCES | - BLANCO 60CM CERAMIC COOKTOP BCC604T | EACH | 599 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,599,true,true,1244,0,
product:appliances:cooktops:blanco:bcg604wx,Blanco,Blanco,category:appliances,family:cooktops,cooktops,BCG604WX,BLANCO 60CM GAS COOKTOP BCG604WX,APPLIANCES | - BLANCO 60CM GAS COOKTOP BCG604WX | EACH | 599 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,599,true,true,1249,0,
product:appliances:cooktops:blanco:bcg905wx,Blanco,Blanco,category:appliances,family:cooktops,cooktops,BCG905WX,BLANCO 90CM GAS COOKTOP BCG905WX,APPLIANCES | - BLANCO 90CM GAS COOKTOP BCG905WX | EACH | 899 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,899,true,true,1260,0,
product:appliances:cooktops:blanco:bic90x,Blanco,Blanco,category:appliances,family:cooktops,cooktops,BIC90X,BLANCO 90CM INDUCTION COOKTOP BIC90X,APPLIANCES | - BLANCO 90CM INDUCTION COOKTOP BIC90X | EACH | 1499 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,1499,true,true,1255,0,
product:appliances:cooktops:euromaid:ecck900,Euromaid,Euromaid,category:appliances,family:cooktops,cooktops,ECCK900,EUROMAID 90CM CERAMIC COOKTOP ECCK900,APPLIANCES | - EUROMAID 90CM CERAMIC COOKTOP ECCK900 | EACH | 899 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,899,true,true,1193,0,
product:appliances:cooktops:euromaid:gc90s,Euromaid,Euromaid,category:appliances,family:cooktops,cooktops,GC90S,EUROMAID 90CM GAS COOKTOP GC90S,APPLIANCES | - EUROMAID 90CM GAS COOKTOP GC90S | EACH | 599 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,599,true,true,1198,0,
product:appliances:cooktops:euromaid:kcs4,Euromaid,Euromaid,category:appliances,family:cooktops,cooktops,KCS4,EUROMAID 60CM CERAMIC COOKTOP KCS4,APPLIANCES | - EUROMAID 60CM CERAMIC COOKTOP KCS4 | EACH | 336 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,336,true,true,1181,0,
product:appliances:cooktops:euromaid:wk60s,Euromaid,Euromaid,category:appliances,family:cooktops,cooktops,WK60S,EUROMAID 60CM GAS COOKTOP WK60S,APPLIANCES | - EUROMAID 60CM GAS COOKTOP WK60S | EACH | 250 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,250,true,true,1186,0,
product:appliances:cooktops:omega:ocg604x,Omega,Omega,category:appliances,family:cooktops,cooktops,OCG604X,OMEGA 60CM 4 BURNER GAS COOKTOP OCG604X,APPLIANCES | - OMEGA 60CM 4 BURNER GAS COOKTOP OCG604X | EACH | 399 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,399,true,true,1220,0,
product:appliances:cooktops:omega:oci64z,Omega,Omega,category:appliances,family:cooktops,cooktops,OCI64Z,OMEGA 60CM INDUCTION COOKTOP OCI64Z,APPLIANCES | - OMEGA 60CM INDUCTION COOKTOP OCI64Z | EACH | 899 | Component item for pack above. Use EACH rate only if pricing separately.,EACH,899,true,true,1215,0,
