quotation_row_id,quotation_code,classification,current_description,unit,category_id,subcategory_id,product_library_section,product_library_section_name,proposed_source_id,existing_product_library_match,recommended_action,notes
quote-294,294,product,FACE BRICKS - BASE RANGE,1000,category:external-cladding,subcategory:face-bricks-base-range,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:face-bricks-base-range:face-bricks-base-range,,review import candidate before creation,Physical product/material candidate.
quote-295,295,product,FACE BRICKS - MID RANGE,1000,category:external-cladding,subcategory:face-bricks-mid-range,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:face-bricks-mid-range:face-bricks-mid-range,,review import candidate before creation,Physical product/material candidate.
quote-296,296,product,COMMON BRICKS FOR RENDERING,1000,category:external-cladding,subcategory:common-bricks-for-rendering,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:common-bricks-for-rendering:common-bricks-for-rendering,,review import candidate before creation,Physical product/material candidate.
quote-297,297,product,200 SERIES BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks:200-series-blocks,,review import candidate before creation,Physical product/material candidate.
quote-298,298,product,200 SERIES BLOCKS 3/4 BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks-3-4-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks-3-4-blocks:200-series-blocks-3-4-blocks,,review import candidate before creation,Physical product/material candidate.
quote-299,299,product,200 SERIES BLOCKS - HALVE BLOCKS,EACH,category:external-cladding,subcategory:200-series-blocks-halve-blocks,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:200-series-blocks-halve-blocks:200-series-blocks-halve-blocks,,review import candidate before creation,Physical product/material candidate.
quote-300,300,product,"MORTAR MIX (SAND, CEMENT ETC.)",M3,category:external-cladding,subcategory:mortar-mix-sand-cement-etc,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:mortar-mix-sand-cement-etc:mortar-mix-sand-cement-etc,,review import candidate before creation,Physical product/material candidate.
quote-301,301,product,M12 ROD,EACH,category:external-cladding,subcategory:m12-rod,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:m12-rod:m12-rod,,review import candidate before creation,Physical product/material candidate.
quote-303,303,product,BLOCKWORK REO,ITEM,category:external-cladding,subcategory:blockwork-reo,wall-ceiling-finishes,Wall & Ceiling Finishes,product:external-cladding:blockwork-reo:blockwork-reo,,review import candidate before creation,Physical product/material candidate.
quote-385,385,product,GREY TAPE,ROLL,category:plumbing-fixtures,subcategory:tapware,plumbing-fixtures-fittings,Plumbing Fixtures & Fittings,product:plumbing-fixtures:tapware:grey-tape,,review import candidate before creation,Physical product/material candidate.
quote-837,837,product,BOX GUTTERING,LM,category:roofing,subcategory:box-guttering,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:box-guttering:box-guttering,,review import candidate before creation,Physical product/material candidate.
quote-847,847,product,ROOFING PLUMBER,HR,category:plumbing-fixtures,subcategory:labour,plumbing-fixtures-fittings,Plumbing Fixtures & Fittings,product:plumbing-fixtures:labour:roofing-plumber,,review import candidate before creation,Physical product/material candidate.
quote-848,848,product,CONCEALED GUTTERING,QUOTE,category:roofing,subcategory:concealed-guttering,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:concealed-guttering:concealed-guttering,,review import candidate before creation,Physical product/material candidate.
quote-803,803,product,"M2 RATE (BATTENS, FASCIA, GUTTER, ROOF & INS)",M2,category:roofing,subcategory:m2-rate-battens-fascia-gutter-roof-and-ins,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:m2-rate-battens-fascia-gutter-roof-and-ins:m2-rate-battens-fascia-gutter-roof-and-ins,,review import candidate before creation,Physical product/material candidate.
quote-804,804,product,FASCIAS,LM,category:roofing,subcategory:fascias,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:fascias:fascias,,review import candidate before creation,Physical product/material candidate.
quote-805,805,product,GUTTERING,LM,category:roofing,subcategory:guttering,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:guttering:guttering,,review import candidate before creation,Physical product/material candidate.
quote-807,807,product,ROOF BATTENS,LM,category:roofing,subcategory:roof-battens,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:roof-battens:roof-battens,,review import candidate before creation,Physical product/material candidate.
quote-808,808,product,SAFETY BATTENS,LM,category:roofing,subcategory:safety-battens,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:safety-battens:safety-battens,,review import candidate before creation,Physical product/material candidate.
quote-812,812,product,WALL CLADDING,LM,category:roofing,subcategory:wall-cladding,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:wall-cladding:wall-cladding,,review import candidate before creation,Physical product/material candidate.
quote-814,814,product,VALLEY IRON,LM,category:roofing,subcategory:valley-iron,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:valley-iron:valley-iron,,review import candidate before creation,Physical product/material candidate.
quote-816,816,product,DOWN PIPE POPS,EACH,category:roofing,subcategory:down-pipe-pops,roofing-rainwater-goods,Roofing & Rainwater Goods,product:roofing:down-pipe-pops:down-pipe-pops,,review import candidate before creation,Physical product/material candidate.
