quotation_row_id,quotation_code,section,current_description,proposed_source_type,unresolved_reason,duplicate_group,recommended_action,notes
quote-272,272,FOUNDATIONS,200 X 300 Z CAGE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-287,287,FOUNDATIONS,LABOUT TO SET UP PIERS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-466,466,GROUND LEVEL TIMBER FLOORING,HARDWARE,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-774,774,COUPLINGS,PLATE JOINERS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-776,776,COUPLINGS,L/H TRIPLE GRIPS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-777,777,COUPLINGS,R/H TRIPLE GRIPS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-838,838,MISC,BARGES,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-842,842,MISC,VALLEY IRON,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1016,1016,WEATHER BOARDS,NEWPORT,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1017,1017,WEATHER BOARDS,linea board,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1021,1021,WEATHER BOARDS,WEATHERBOARD STOPS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1022,1022,WEATHER BOARDS,230mm HARDIPLANK WEATHERBOARDS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1024,1024,WEATHER BOARDS,300mm HARDIPLANK WEATHERBOARDS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1025,1025,WEATHER BOARDS,HARDIPLANK OFF-STUD JOINERS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1058,1058,TIMBER DECKS,ALUMINIUM HANDRAIL,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1059,1059,TIMBER DECKS,5 M CABLE BALUSTRADE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1060,1060,TIMBER DECKS,GLASS BALUSTRADE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1061,1061,TIMBER DECKS,METAL STRINGERS,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1062,1062,TIMBER DECKS,STAIR LANDING,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1063,1063,TIMBER DECKS,250 X 50 CCA TREATED TREDS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1064,1064,TIMBER DECKS,STAINLESS POSTS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1065,1065,TIMBER DECKS,TIMBER HANDRAIL AND BALUSTRADE,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-872,872,SOFFITS,MATERIALS FOR PATIO BULKHEADS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-20004,20004,TIMBER AND TRIMS,66 x 42 Weatherboard Stops,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-882,882,TIMBER AND TRIMS,GABLE FEATURES,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1126,1126,RENDERING,ADD EXTRA AREA FOR PIERS ETC,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1158,1158,MISC RENDERING,RENDER BLUEBOARD,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1159,1159,MISC RENDERING,BAG RENDERING,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1162,1162,MISC RENDERING,RENDER EXIN PANEL,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1163,1163,MISC RENDERING,EXIN - SET JOINS ONLY,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1164,1164,MISC RENDERING,LINEAL EXIN PANEL,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1165,1165,MISC RENDERING,HOURLY RATE,unresolved,legacy row,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1289,1289,STAIRS,STAIRS,unresolved,ambiguous labour/material item,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1292,1292,STAIRS,SAND AND POLISH STAIRS,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1293,1293,STAIRS,MONO STRINGER STAIR STRINGERS,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1294,1294,STAIRS,STAIR LANDING,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1295,1295,STAIRS,DRESSED TIMBER STAIR TREADS,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1296,1296,STAIRS,1M BALUSTRADE,unresolved,ambiguous product,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1297,1297,STAIRS,2.5M BALUSTRADE,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1298,1298,STAIRS,5M BALUSTRADE,unresolved,ambiguous product,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1299,1299,STAIRS,6.5M BALUSTRADE,unresolved,genuinely unresolved,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1300,1300,STAIRS,10M BALUSTRADE,unresolved,ambiguous product,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
quote-1301,1301,STAIRS,15M BALUSTRADE,unresolved,ambiguous product,,manual review before catalogue creation,"No reliable product, trade, category, or formula signal."
