product_id,brand,family,model,image_status,exact_model_source_url,source_organisation,required_action
product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,cooktops,NIO 844 DO B AUS,pending-licence,https://ariston.com.au/inventory/nio844dob/,Ariston Australia,Confirm supplier/manufacturer image licence or approved direct asset before storing primary image.
product:appliances:cooktops:ariston:pc640ntx,Ariston,cooktops,PC640NTX,pending-licence,https://ariston.com.au/inventory/pc640ntx/,Ariston Australia,Confirm supplier/manufacturer image licence or approved direct asset before storing primary image.
product:appliances:cooktops:ariston:pf604ix,Ariston,cooktops,PF604IX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,cooktops,PKQ 755 D GH AUS,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:blanco:bcc604t,Blanco,cooktops,BCC604T,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:blanco:bcg604wx,Blanco,cooktops,BCG604WX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:blanco:bcg905wx,Blanco,cooktops,BCG905WX,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:blanco:bic90x,Blanco,cooktops,BIC90X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:euromaid:ecck900,Euromaid,cooktops,ECCK900,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:euromaid:gc90s,Euromaid,cooktops,GC90S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:euromaid:kcs4,Euromaid,cooktops,KCS4,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:euromaid:wk60s,Euromaid,cooktops,WK60S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:omega:ocg604x,Omega,cooktops,OCG604X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:omega:oci64z,Omega,cooktops,OCI64Z,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:omega:oi90z,Omega,cooktops,OI90Z,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:smeg:pga95,Smeg,cooktops,PGA95,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:cooktops:smeg:si2641d,Smeg,cooktops,SI2641D,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,dishwashers,WSF6606X,exact-image-unavailable,,,Complete exact model image research; Product Library UI must use a category fallback until exact image is approved.
product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,freestanding-cookers,CP059MDX,pending-licence,https://ariston.com.au/inventory/freestanding-cooker-cp059mdx-2/,Ariston Australia,Confirm supplier/manufacturer image licence or approved direct asset before storing primary image.
